Molecular/Biological/Cellular Ontology Terms: 

GO:0043565      sequence-specific DNA binding                                                                                            ['Klf4', 'Ascl1', 'Foxp2', 'Mef2c']     
R-MMU-5668599   RHO GTPases Activate NADPH Oxidases                                                                                      ['Prkca']                               
GO:0030315      T-tubule                                                                                                                 ['Tgfb3']                               
GO:0035088      establishment or maintenance of apical/basal cell polarity                                                               ['Ooep']                                
GO:0051497      negative regulation of stress fiber assembly                                                                             ['Tmsb15b2']                            
GO:0006955      immune response                                                                                                          ['Nfam1', 'Cxcl14']                     
GO:0009190      cyclic nucleotide biosynthetic process                                                                                   ['Adcy8']                               
GO:0007417      central nervous system development                                                                                       ['Emx2']                                
GO:1901216      positive regulation of neuron death                                                                                      ['St8sia2']                             
GO:0048662      negative regulation of smooth muscle cell proliferation                                                                  ['Klf4']                                
R-MMU-5654699   SHC-mediated cascade:FGFR2                                                                                               ['Fgf9']                                
GO:0044354      macropinosome                                                                                                            ['Carmil1']                             
R-MMU-2129379   Molecules associated with elastic fibres                                                                                 ['Tgfb3']                               
GO:0030550      acetylcholine receptor inhibitor activity                                                                                ['Lypd6']                               
R-MMU-201722    Formation of the beta-catenin:TCF transactivating complex                                                                ['Tle4']                                
GO:0008016      regulation of heart contraction                                                                                          ['Hopx']                                
GO:0050729      positive regulation of inflammatory response                                                                             ['Prkca']                               
GO:0035739      CD4-positive, alpha-beta T cell proliferation                                                                            ['Prkcq', 'Cd24a']                      
GO:0002159      desmosome assembly                                                                                                       ['Prkca']                               
GO:0060252      positive regulation of glial cell proliferation                                                                          ['Igf1']                                
GO:0005746      mitochondrial respirasome                                                                                                ['Scaf1']                               
GO:0016616      oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor                                    ['Ctbp2']                               
GO:0038003      G protein-coupled opioid receptor signaling pathway                                                                      ['Adcy8']                               
GO:0006996      organelle organization                                                                                                   ['Tmem108']                             
GO:0031295      T cell costimulation                                                                                                     ['Cd24a']                               
GO:0097718      disordered domain specific binding                                                                                       ['Rb1']                                 
R-MMU-879518    Transport of organic anions                                                                                              ['Slco3a1']                             
GO:0009986      cell surface                                                                                                             ['Nfam1', 'Tgfb3', 'Cd24a', 'Gria1']    
GO:0003185      sinoatrial valve morphogenesis                                                                                           ['Mef2c']                               
GO:0042974      nuclear retinoic acid receptor binding                                                                                   ['Ctbp2']                               
R-MMU-114516    Disinhibition of SNARE formation                                                                                         ['Prkca']                               
GO:0043415      positive regulation of skeletal muscle tissue regeneration                                                               ['Hopx']                                
GO:0010508      positive regulation of autophagy                                                                                         ['Trim8']                               
GO:0007159      leukocyte cell-cell adhesion                                                                                             ['Cd24a']                               
GO:0016151      nickel cation binding                                                                                                    ['Cdo1']                                
GO:0015732      prostaglandin transport                                                                                                  ['Slco3a1']                             
R-MMU-2393930   Phosphate bond hydrolysis by NUDT proteins                                                                               ['Nudt9']                               
GO:0006887      exocytosis                                                                                                               ['Cplx3', 'Rims4', 'Unc13c']            
GO:0009408      response to heat                                                                                                         ['Igf1']                                
R-MMU-5654228   Phospholipase C-mediated cascade; FGFR4                                                                                  ['Fgf9']                                
GO:0010633      negative regulation of epithelial cell migration                                                                         ['Mcc', 'D1Ertd622e']                   
GO:0006486      protein glycosylation                                                                                                    ['St6galnac5', 'St6gal2', 'St8sia2']    
GO:0048172      regulation of short-term neuronal synaptic plasticity                                                                    ['Shisa8']                              
GO:0045730      respiratory burst                                                                                                        ['Cd24a']                               
GO:0045722      positive regulation of gluconeogenesis                                                                                   ['Cry1']                                
GO:0071949      FAD binding                                                                                                              ['Cry1']                                
GO:0071930      negative regulation of transcription involved in G1/S transition of mitotic cell cycle                                   ['Rb1']                                 
GO:0021846      cell proliferation in forebrain                                                                                          ['Emx2']                                
GO:0061630      ubiquitin protein ligase activity                                                                                        ['Siah2', 'Trim8', 'Pdzrn3']            
GO:0019452      L-cysteine catabolic process to taurine                                                                                  ['Cdo1']                                
GO:0035866      alphav-beta3 integrin-PKCalpha complex                                                                                   ['Prkca']                               
GO:0099565      chemical synaptic transmission, postsynaptic                                                                             ['Gria1']                               
GO:0001682      tRNA 5'-leader removal                                                                                                   ['Rpp25']                               
GO:0009967      positive regulation of signal transduction                                                                               ['Tgfb3', 'Cdkn2aip']                   
GO:1904184      positive regulation of pyruvate dehydrogenase activity                                                                   ['Pdp2']                                
GO:0050853      B cell receptor signaling pathway                                                                                        ['Nfam1', 'Mef2c']                      
GO:0042307      positive regulation of protein import into nucleus                                                                       ['Prkcq']                               
GO:1904754      positive regulation of vascular associated smooth muscle cell migration                                                  ['Fgf9']                                
GO:0051402      neuron apoptotic process                                                                                                 ['Tgfb3', 'Rb1']                        
GO:0090330      regulation of platelet aggregation                                                                                       ['Prkcq', 'Prkca']                      
GO:0071560      cellular response to transforming growth factor beta stimulus                                                            ['Sox5', 'Mef2c']                       
GO:0030548      acetylcholine receptor regulator activity                                                                                ['Lypd6']                               
GO:0046415      urate metabolic process                                                                                                  ['Carmil1']                             
GO:0005200      structural constituent of cytoskeleton                                                                                   ['Tubg2']                               
GO:0001649      osteoblast differentiation                                                                                               ['Fgf9', 'Igf1', 'Mef2c']               
GO:1903944      negative regulation of hepatocyte apoptotic process                                                                      ['Rb1']                                 
GO:0042104      positive regulation of activated T cell proliferation                                                                    ['Igf1', 'Cd24a']                       
GO:0030593      neutrophil chemotaxis                                                                                                    ['Prkca']                               
GO:0015347      sodium-independent organic anion transmembrane transporter activity                                                      ['Slco3a1']                             
GO:0000082      G1/S transition of mitotic cell cycle                                                                                    ['Rb1']                                 
R-MMU-5653656   Vesicle-mediated transport                                                                                               ['Gria1', 'Scarb2']                     
GO:1990829      C-rich single-stranded DNA binding                                                                                       ['Pcbp3']                               
GO:0005096      GTPase activator activity                                                                                                ['Rgs12', 'Tbc1d4', 'Arhgap42']         
GO:0010008      endosome membrane                                                                                                        ['Tmem108']                             
GO:0060326      cell chemotaxis                                                                                                          ['Prkcq', 'Cxcl14']                     
GO:0034314      Arp2/3 complex-mediated actin nucleation                                                                                 ['Carmil1']                             
GO:0001574      ganglioside biosynthetic process                                                                                         ['St6galnac5', 'St8sia2']               
GO:0097107      postsynaptic density assembly                                                                                            ['C1ql2']                               
GO:0043550      regulation of lipid kinase activity                                                                                      ['Rb1']                                 
GO:0022836      gated channel activity                                                                                                   ['Tmem28']                              
GO:0008150      biological_process                                                                                                       ['Fam181a', 'Pabpc5', 'Arl15', 'Ankrd29', 'Rtl5']
GO:0048565      digestive tract development                                                                                              ['Rb1']                                 
GO:2000323      negative regulation of glucocorticoid receptor signaling pathway                                                         ['Cry1']                                
GO:0006364      rRNA processing                                                                                                          ['Rpp25']                               
GO:0048846      axon extension involved in axon guidance                                                                                 ['Nrp2']                                
GO:0034983      peptidyl-lysine deacetylation                                                                                            ['Hdac9']                               
R-MMU-375165    NCAM signaling for neurite out-growth                                                                                    ['St8sia2']                             
R-MMU-418594    G alpha (i) signalling events                                                                                            ['Adcy8', 'Rgs12', 'Prkca']             
GO:0098684      photoreceptor ribbon synapse                                                                                             ['Cplx3', 'Ctbp2']                      
GO:0048671      negative regulation of collateral sprouting                                                                              ['Bcl11a']                              
GO:0051781      positive regulation of cell division                                                                                     ['Tgfb3', 'Fgf9']                       
GO:2000987      positive regulation of behavioral fear response                                                                          ['Mef2c']                               
GO:0045429      positive regulation of nitric oxide biosynthetic process                                                                 ['Klf4']                                
GO:0048672      positive regulation of collateral sprouting                                                                              ['Bcl11a']                              
GO:0000902      cell morphogenesis                                                                                                       ['Wnt3', 'Cap2']                        
GO:2000318      positive regulation of T-helper 17 type immune response                                                                  ['Prkcq']                               
GO:0005615      extracellular space                                                                                                      ['Cbln4', 'Tgfb3', 'Fgf9', 'Wnt3', 'Igf1', 'Fibcd1', 'Cxcl14', 'Adgrb1', 'Flrt1', 'Col25a1']
GO:1902809      regulation of skeletal muscle fiber differentiation                                                                      ['Hdac9']                               
GO:0007179      transforming growth factor beta receptor signaling pathway                                                               ['Tgfb3']                               
GO:0031339      negative regulation of vesicle fusion                                                                                    ['Tbc1d4']                              
GO:0051293      establishment of spindle localization                                                                                    ['Ooep']                                
GO:0015276      ligand-gated monoatomic ion channel activity                                                                             ['Gria1']                               
R-MMU-9006925   Intracellular signaling by second messengers                                                                             ['Adcy8', 'Fgf9', 'Prkca']              
GO:0046777      protein autophosphorylation                                                                                              ['Cdkl5', 'Prkca']                      
GO:0001965      G-protein alpha-subunit binding                                                                                          ['Rgs12', 'Gria1']                      
R-MMU-1489509   DAG and IP3 signaling                                                                                                    ['Adcy8', 'Prkca']                      
GO:0045087      innate immune response                                                                                                   ['Trim8', 'Adgrb1', 'Cd24a']            
GO:0030296      protein tyrosine kinase activator activity                                                                               ['Cd24a']                               
GO:0090128      regulation of synapse maturation                                                                                         ['C1ql2']                               
GO:0090092      regulation of transmembrane receptor protein serine/threonine kinase signaling pathway                                   ['Tgfb3']                               
GO:0001067      transcription regulatory region nucleic acid binding                                                                     ['Bcl11a']                              
GO:0045814      negative regulation of gene expression, epigenetic                                                                       ['Hdac9']                               
GO:0007605      sensory perception of sound                                                                                              ['Tmtc4', 'Ripor2', 'Scarb2']           
GO:0006468      protein phosphorylation                                                                                                  ['Prkcq', 'Ooep', 'Tgfb3', 'Hunk', 'Prag1', 'Fgf9', 'Cdk19', 'Cdkl5', 'Prkca', 'Stk40']
GO:2000026      regulation of multicellular organismal development                                                                       ['Sox5']                                
GO:0035249      synaptic transmission, glutamatergic                                                                                     ['Gria1', 'Unc13c']                     
GO:0099525      presynaptic dense core vesicle exocytosis                                                                                ['Unc13c']                              
GO:0006811      monoatomic ion transport                                                                                                 ['Gabrr1', 'Gria1', 'Slco3a1']          
R-MMU-5654712   FRS-mediated FGFR4 signaling                                                                                             ['Fgf9']                                
GO:0030889      negative regulation of B cell proliferation                                                                              ['Cd24a']                               
GO:0016853      isomerase activity                                                                                                       ['Itpk1']                               
GO:0051302      regulation of cell division                                                                                              ['Ooep']                                
R-MMU-199418    Negative regulation of the PI3K/AKT network                                                                              ['Fgf9']                                
GO:0051005      negative regulation of lipoprotein lipase activity                                                                       ['Hdac9']                               
GO:0007507      heart development                                                                                                        ['Hopx', 'Hdac9', 'Nrp2', 'Mef2c']      
GO:0005516      calmodulin binding                                                                                                       ['Adcy8', 'Unc13c']                     
R-MMU-975576    N-glycan antennae elongation in the medial/trans-Golgi                                                                   ['St8sia2']                             
GO:0097475      motor neuron migration                                                                                                   ['Ascl1']                               
GO:0050850      positive regulation of calcium-mediated signaling                                                                        ['Cd24a']                               
GO:0043568      positive regulation of insulin-like growth factor receptor signaling pathway                                             ['Igf1']                                
GO:0048010      vascular endothelial growth factor receptor signaling pathway                                                            ['Fgf9']                                
GO:0005737      cytoplasm                                                                                                                ['Mcc', 'Fam181a', 'Prkcq', 'Siah2', 'Klf4', 'Ooep', 'Epb41l4a', 'Hunk', 'Prag1', 'Lhpp', 'Rgs12', 'Tbc1d4', 'Pcbp3', 'Fgf9', 'Gtpbp1', 'Trim8', 'Mc4r', 'Hopx', 'Tubg2', 'Tmsb15b2', 'Cipc', 'Erbin', 'Ripor2', 'Lypd6', 'Itpk1', 'Hdac9', 'Cdk19', 'D1Ertd622e', 'Prpsap2', 'Pdzrn3', 'Cabp1', 'Cndp2', 'Carmil1', 'Ube2z', 'Flrt1', 'Cap2', 'Cry1', 'Fam172a', 'Cdkl5', 'Prkca', 'Bcl11a', 'Scarb2', 'Stk40', 'Unc13c', 'Mef2c']
GO:0005576      extracellular region                                                                                                     ['C1ql2', 'Adamtsl1', 'Cbln4', 'Tgfb3', 'Fgf9', 'Wnt3', 'Igf1', 'Lypd6', 'Cxcl14', 'Adgrb1', 'Flrt1', 'Col25a1']
GO:0030027      lamellipodium                                                                                                            ['Carmil1']                             
GO:0019865      immunoglobulin binding                                                                                                   ['Gria1']                               
R-MMU-453276    Regulation of mitotic cell cycle                                                                                         ['Rb1']                                 
GO:0061051      positive regulation of cell growth involved in cardiac muscle cell development                                           ['Igf1']                                
R-MMU-202403    TCR signaling                                                                                                            ['Prkcq']                               
GO:0021940      positive regulation of cerebellar granule cell precursor proliferation                                                   ['Igf1']                                
GO:0007162      negative regulation of cell adhesion                                                                                     ['Ripor2']                              
GO:0006325      chromatin organization                                                                                                   ['Hdac9', 'Rb1']                        
GO:0032868      response to insulin                                                                                                      ['Mc4r', 'Cry1']                        
GO:0051604      protein maturation                                                                                                       ['Tspan5']                              
R-MMU-5357801   Programmed Cell Death                                                                                                    ['Prkcq']                               
GO:0005768      endosome                                                                                                                 ['Snx13', 'Tmem108', 'Gria1']           
GO:1990841      promoter-specific chromatin binding                                                                                      ['Klf4']                                
GO:0030017      sarcomere                                                                                                                ['Mef2c']                               
GO:0043536      positive regulation of blood vessel endothelial cell migration                                                           ['Igf1', 'Prkca']                       
R-MMU-195253    Degradation of beta-catenin by the destruction complex                                                                   ['Ctbp2', 'Tle4']                       
GO:0071838      cell proliferation in bone marrow                                                                                        ['Mef2c']                               
GO:0032967      positive regulation of collagen biosynthetic process                                                                     ['Tgfb3']                               
R-MMU-2022928   HS-GAG biosynthesis                                                                                                      ['Hs3st3a1', 'Hs3st3b1']                
GO:0005886      plasma membrane                                                                                                          ['Tmem28', 'Nfam1', 'Slc44a5', 'Mcc', 'Gabrr1', 'Prkcq', 'Adcy8', 'Hs3st3b1', 'Cplx3', 'Rgs12', 'Rapgef5', 'Mc4r', 'Erbin', 'Ripor2', 'Cdo1', 'Lypd6', 'Pcdh20', 'Cabp1', 'Carmil1', 'Tvp23b', 'Adgrb1', 'Cd24a', 'Flrt1', 'Tspan5', 'Cap2', 'Gria1', 'Slco3a1', 'Prkca', 'Scarb2', 'Col25a1', 'Unc13c', 'Nrp2']
GO:0061676      importin-alpha family protein binding                                                                                    ['Rb1']                                 
GO:0022857      transmembrane transporter activity                                                                                       ['Slc44a5']                             
GO:0004971      AMPA glutamate receptor activity                                                                                         ['Gria1']                               
GO:0010255      glucose mediated signaling pathway                                                                                       ['Adcy8']                               
GO:0030324      lung development                                                                                                         ['Fgf9', 'Foxp2', 'Igf1', 'Stk40']      
GO:0002534      cytokine production involved in inflammatory response                                                                    ['D1Ertd622e']                          
GO:0000278      mitotic cell cycle                                                                                                       ['Tubg2']                               
GO:0010468      regulation of gene expression                                                                                            ['Emx2', 'Ascl1', 'Pcbp3', 'Igf1', 'Stk40']
GO:1900454      positive regulation of long-term synaptic depression                                                                     ['Adcy8']                               
GO:0042770      signal transduction in response to DNA damage                                                                            ['Cry1']                                
GO:0008179      adenylate cyclase binding                                                                                                ['Cap2', 'Gria1']                       
GO:0006606      protein import into nucleus                                                                                              ['Fgf9']                                
R-MMU-2404192   Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)                                                        ['Fgf9', 'Igf1']                        
GO:0043153      entrainment of circadian clock by photoperiod                                                                            ['Cry1']                                
GO:0106015      negative regulation of inflammatory response to wounding                                                                 ['Cd24a']                               
GO:0021527      spinal cord association neuron differentiation                                                                           ['Ascl1']                               
R-MMU-8856828   Clathrin-mediated endocytosis                                                                                            ['Scarb2']                              
R-MMU-418555    G alpha (s) signalling events                                                                                            ['Mc4r']                                
GO:0030054      cell junction                                                                                                            ['Pard3b', 'Erbin', 'Nudt9']            
GO:0060292      long-term synaptic depression                                                                                            ['Gria1']                               
GO:0022407      regulation of cell-cell adhesion                                                                                         ['Cd24a']                               
GO:0043198      dendritic shaft                                                                                                          ['Gria1']                               
R-MMU-1483191   Synthesis of PC                                                                                                          ['Slc44a5']                             
GO:0005769      early endosome                                                                                                           ['Siah2', 'Snx13', 'Tmem108', 'St8sia2', 'Gria1']
GO:0032991      protein-containing complex                                                                                               ['C1ql2', 'Pard3b', 'Ooep', 'Rgs12', 'Tubg2', 'Prpsap2', 'Cabp1', 'Gria1', 'Prkca', 'Mef2c']
GO:0060509      type I pneumocyte differentiation                                                                                        ['Igf1']                                
GO:0046983      protein dimerization activity                                                                                            ['Adcy8', 'Ascl1', 'Mef2c']             
GO:0042177      negative regulation of protein catabolic process                                                                         ['Adgrb1']                              
GO:0045931      positive regulation of mitotic cell cycle                                                                                ['Prkca']                               
GO:0030594      neurotransmitter receptor activity                                                                                       ['Gabrr1']                              
GO:0019904      protein domain specific binding                                                                                          ['Gabrr1', 'Phrf1', 'Wnt3', 'Cabp1', 'Scaf1', 'Gria1']
GO:0060426      lung vasculature development                                                                                             ['Igf1']                                
GO:0090305      nucleic acid phosphodiester bond hydrolysis                                                                              ['Wdr70']                               
GO:0010389      regulation of G2/M transition of mitotic cell cycle                                                                      ['Prkcq']                               
GO:0050861      positive regulation of B cell receptor signaling pathway                                                                 ['Nfam1']                               
R-MMU-418597    G alpha (z) signalling events                                                                                            ['Adcy8']                               
R-MMU-2428928   IRS-related events triggered by IGF1R                                                                                    ['Fgf9', 'Igf1']                        
R-MMU-446203    Asparagine N-linked glycosylation                                                                                        ['St6galnac5', 'St6gal2', 'St8sia2', 'Gria1']
GO:0000030      mannosyltransferase activity                                                                                             ['Tmtc4']                               
GO:0008294      calcium- and calmodulin-responsive adenylate cyclase activity                                                            ['Adcy8']                               
GO:0001530      lipopolysaccharide binding                                                                                               ['Adgrb1']                              
GO:0006470      protein dephosphorylation                                                                                                ['Pdp2']                                
GO:0003785      actin monomer binding                                                                                                    ['Tmsb15b2']                            
GO:0016021      integral component of membrane                                                                                           ['Nfam1']                               
GO:0046847      filopodium assembly                                                                                                      ['Tgfb3']                               
GO:0061912      selective autophagy                                                                                                      ['Cry1']                                
R-MMU-8878171   Transcriptional regulation by RUNX1                                                                                      ['Lmo1']                                
GO:0060173      limb development                                                                                                         ['Wnt3']                                
GO:0045652      regulation of megakaryocyte differentiation                                                                              ['Mef2c']                               
GO:0071837      HMG box domain binding                                                                                                   ['Mef2c']                               
GO:0014911      positive regulation of smooth muscle cell migration                                                                      ['Igf1']                                
GO:1990869      cellular response to chemokine                                                                                           ['Ripor2']                              
GO:0002062      chondrocyte differentiation                                                                                              ['Fgf9', 'Sox5', 'Rb1', 'Prkca', 'Mef2c']
GO:0042754      negative regulation of circadian rhythm                                                                                  ['Cipc', 'Cry1']                        
R-MMU-977444    GABA B receptor activation                                                                                               ['Adcy8']                               
GO:0031640      killing of cells of another organism                                                                                     ['Cxcl14']                              
GO:0060253      negative regulation of glial cell proliferation                                                                          ['Rb1']                                 
GO:0002634      regulation of germinal center formation                                                                                  ['Mef2c']                               
GO:0021757      caudate nucleus development                                                                                              ['Foxp2']                               
GO:0051146      striated muscle cell differentiation                                                                                     ['Rb1']                                 
GO:0048697      positive regulation of collateral sprouting in absence of injury                                                         ['Wnt3']                                
GO:0005819      spindle                                                                                                                  ['Tubg2', 'Rb1']                        
GO:0099013      neuronal dense core vesicle lumen                                                                                        ['Igf1']                                
GO:0062023      collagen-containing extracellular matrix                                                                                 ['Adamtsl1', 'Tgfb3', 'Fibcd1', 'Col25a1']
GO:0003138      primary heart field specification                                                                                        ['Mef2c']                               
GO:0051219      phosphoprotein binding                                                                                                   ['Rb1']                                 
GO:0030165      PDZ domain binding                                                                                                       ['Adgrb1', 'Gria1']                     
GO:0010862      positive regulation of pathway-restricted SMAD protein phosphorylation                                                   ['Tgfb3']                               
GO:0043627      response to estrogen                                                                                                     ['Tgfb3', 'Cd24a']                      
GO:0000302      response to reactive oxygen species                                                                                      ['Prkca']                               
R-MMU-1566948   Elastic fibre formation                                                                                                  ['Tgfb3']                               
GO:0046872      metal ion binding                                                                                                        ['Prkcq', 'Adcy8', 'Siah2', 'Klf4', 'Lhpp', 'Lmo1', 'Zfp120', 'Trim8', 'Phrf1', 'Zmat4', 'Foxp2', 'Fbxl19', 'Zmat1', 'Zbtb43', 'Cdo1', 'Itpk1', 'Fibcd1', 'Pdzrn3', 'March4', 'Cabp1', 'Cndp2', 'Prkca', 'Bcl11a', 'Unc13c', 'Nrp2', 'Inpp1']
GO:0021750      vestibular nucleus development                                                                                           ['Ascl1']                               
GO:0022853      active ion transmembrane transporter activity                                                                            ['Slco3a1']                             
GO:0006508      proteolysis                                                                                                              ['Cndp2']                               
GO:0038084      vascular endothelial growth factor signaling pathway                                                                     ['Nrp2']                                
GO:0032922      circadian regulation of gene expression                                                                                  ['Cry1']                                
GO:0060076      excitatory synapse                                                                                                       ['Adcy8', 'Gria1']                      
GO:0007528      neuromuscular junction development                                                                                       ['Pdzrn3', 'Unc13c']                    
GO:0060979      vasculogenesis involved in coronary vascular morphogenesis                                                               ['Fgf9']                                
GO:0004672      protein kinase activity                                                                                                  ['Prkcq', 'Hunk', 'Prag1', 'Cdk19', 'Cdkl5', 'Prkca', 'Stk40']
GO:0042127      regulation of cell population proliferation                                                                              ['Klf4', 'Tgfb3', 'Ascl1', 'Igf1']      
GO:0030175      filopodium                                                                                                               ['Ripor2']                              
GO:0005814      centriole                                                                                                                ['Tubg2']                               
GO:0001974      blood vessel remodeling                                                                                                  ['Igf1', 'Mef2c']                       
GO:0003729      mRNA binding                                                                                                             ['Pcbp3']                               
R-MMU-112399    IRS-mediated signalling                                                                                                  ['Fgf9']                                
GO:0060045      positive regulation of cardiac muscle cell proliferation                                                                 ['Fgf9', 'Mef2c']                       
GO:0006351      DNA-templated transcription                                                                                              ['Klf4', 'Sox5']                        
R-MMU-68877     Mitotic Prometaphase                                                                                                     ['Tubg2']                               
GO:0016055      Wnt signaling pathway                                                                                                    ['Fgf9', 'Wnt3', 'Tle4']                
GO:0005765      lysosomal membrane                                                                                                       ['Scarb2']                              
GO:0008090      retrograde axonal transport                                                                                              ['Tmem108']                             
GO:0015220      choline transmembrane transporter activity                                                                               ['Slc44a5']                             
GO:0043547      positive regulation of GTPase activity                                                                                   ['Rapgef5', 'Snx13', 'Cdkl5']           
